2015-05-07 09:32:25.278853
0:00:00.016046,-268,-628,16152,-735,-89,-37
0:00:00.031613,-768,-632,16188,-726,-85,-23
0:00:00.047590,-496,-916,16300,-738,-68,-34
0:00:00.062937,-416,-812,16168,-747,-70,-42
0:00:00.077364,-496,-716,16324,-741,-78,-32
0:00:00.090599,-356,-516,16176,-729,-94,-26
0:00:00.102470,-376,-716,16244,-716,-85,-23
0:00:00.114827,-400,-680,16208,-733,-74,-32
0:00:00.126571,-448,-716,16244,-729,-56,-20
0:00:00.138635,-720,-660,16408,-722,-81,-28
0:00:00.150672,-328,-968,16324,-738,-71,-28
0:00:00.163135,-516,-780,16188,-744,-100,-47
0:00:00.175165,-512,-748,16368,-733,-95,-34
0:00:00.187316,-352,-764,16196,-732,-67,-51
0:00:00.199933,-280,-996,16320,-716,-66,-36
0:00:00.211864,-492,-536,16296,-735,-78,-27
0:00:00.224182,-480,-1000,16184,-735,-88,-39
0:00:00.236278,-324,-712,16200,-716,-81,-36
0:00:00.248704,-280,-712,16156,-732,-81,-26
0:00:00.260831,-504,-840,16216,-714,-105,-44
0:00:00.272827,-480,-748,16208,-715,-75,-26
0:00:00.285332,-716,-932,16168,-721,-88,-29
0:00:00.297249,-476,-724,16240,-710,-84,-27
0:00:00.308566,-500,-676,16208,-734,-78,-29
0:00:00.321041,-304,-776,16168,-737,-63,-52
0:00:00.333060,-536,-708,16176,-736,-72,-30
0:00:00.345110,-356,-792,16380,-745,-87,-34
0:00:00.357113,-484,-636,16192,-747,-72,-45
0:00:00.369526,-552,-756,16184,-719,-77,-30
0:00:00.381318,-608,-540,16256,-717,-96,-39
0:00:00.393326,-492,-960,16288,-729,-92,-29
0:00:00.405892,-476,-760,16300,-738,-80,-30
0:00:00.417933,-480,-520,16184,-743,-74,-31
0:00:00.430049,-384,-836,16212,-719,-84,-30
0:00:00.442053,-296,-744,16344,-749,-77,-45
0:00:00.454501,-452,-1004,16276,-724,-80,-24
0:00:00.466503,-272,-1016,16008,-728,-91,-42
0:00:00.478535,-420,-516,16248,-740,-101,-46
0:00:00.490938,-528,-564,16368,-741,-58,-21
0:00:00.502775,-416,-860,16332,-735,-86,-35
0:00:00.514688,-424,-736,16264,-734,-84,-36
0:00:00.526785,-372,-544,16316,-733,-93,-37
0:00:00.539207,-436,-956,16252,-729,-79,-25
0:00:00.551203,-284,-1008,16272,-744,-86,-34
0:00:00.564924,-540,-708,16148,-740,-89,-39
0:00:00.580095,-288,-804,16212,-729,-81,-42
0:00:00.595904,-440,-972,15980,-726,-73,-29
